상호명,도로명,위도,경도
컴포즈커피서홍점,제주특별자치도 서귀포시 홍중로,33.2570005984629,126.557013329592
컴포즈커피서귀포,제주특별자치도 서귀포시 대정읍 신영로,33.2210627336334,126.253887251866
컴포즈커피제주남녕고점,제주특별자치도 제주시 남녕로,33.4906037515522,126.480821000831
컴포즈커피제주,제주특별자치도 제주시 구남동6길,33.4887086568999,126.53838699372
컴포즈커피제주,제주특별자치도 제주시 과원북4길,33.4813438379508,126.482962314968
컴포즈커피연동점,제주특별자치도 제주시 과원북4길,33.4811195417547,126.491175238075
컴포즈커피제주아라점,제주특별자치도 제주시 중앙로,33.475966445567,126.545034489288
컴포즈커피서귀포,제주특별자치도 서귀포시 동홍로,33.2581905837599,126.568701917501
컴포즈커피화북공단점,제주특별자치도 제주시 화남로,33.5121857976202,126.563833886604
컴포즈커피제주제원점,제주특별자치도 제주시 제원길,33.4884894839891,126.489293583898
컴포즈커피한림점,제주특별자치도 제주시 한림읍 한림상로,33.4099384135466,126.265520952468
컴포즈커피토평점,제주특별자치도 서귀포시 중산간동로,33.26786785683,126.590267234876
컴포즈커피서귀포성산점,제주특별자치도 서귀포시 성산읍 일주동로,33.4509261527775,126.912238900155
컴포즈커피,제주특별자치도 서귀포시 태평로,33.2464352931969,126.559483235913
컴포즈커피서귀포서광점,제주특별자치도 서귀포시 안덕면 중산간서로,33.2891175642572,126.322330418898
컴포즈커피제주서사라점,제주특별자치도 제주시 서광로,33.4996381767002,126.519607901241
컴포즈커피제주,제주특별자치도 제주시 중앙로,33.4923628640759,126.536334929011
컴포즈커피서귀포창천점,제주특별자치도 서귀포시 안덕면 일주서로,33.2612686922095,126.365692534956
컴포즈커피하효점,제주특별자치도 서귀포시 효돈순환로,33.2568718760316,126.617905771217
컴포즈커피제주삼화점,제주특별자치도 제주시 화삼로,33.514421145841,126.575496487401
컴포즈커피서귀포,제주특별자치도 서귀포시 김정문화로,33.2510506696846,126.511183951638
컴포즈,제주특별자치도 서귀포시 중산간동로,33.2613005125474,126.521645359306
컴포즈서귀포표선점,제주특별자치도 서귀포시 표선면 표선중앙로,33.3268908869948,126.832197673844
컴포즈커피제주공항렌트카점,제주특별자치도 제주시 다호5길,33.5017780075957,126.489245692053
컴포즈커피제주차귀도점,제주특별자치도 제주시 한경면 노을해안로,33.3095227685745,126.166239519561
컴포즈커피제주연동,제주특별자치도 제주시 연동13길,33.4864448007402,126.494633538099
컴포즈커피제주,제주특별자치도 제주시 조천읍 조함해안로,33.5421100470291,126.665450067178
컴포즈커피제주이호테우점,제주특별자치도 제주시 테우해안로,33.4968494475062,126.452238910452
컴포즈커피제주동초교점,제주특별자치도 제주시 동문로,33.5133581907973,126.533850395958
컴포즈커피서귀포일호,제주특별자치도 서귀포시 중앙로,33.2529964519297,126.561596879466
컴포즈커피제주하귀점,제주특별자치도 제주시 애월읍 하귀9길,33.4867232186499,126.415019232758
컴포즈커피울진죽변점,경상북도 울진군 죽변면 죽변북로,37.0597424949234,129.421519971985
