상호명,도로명,위도,경도
카페게이트창원,경상남도 창원시 의창구 용동로,35.2386486749672,128.701093716945
카페게이트,경상남도 양산시 서창로,35.4149513585378,129.171112883762
카페게이트장유코아점,경상남도 김해시 능동로155번길,35.203780126739,128.8084207045
카페게이트광주,광주광역시 남구 봉선중앙로,35.1253977939019,126.911146621941
카페게이트광주,광주광역시 북구 서하로,35.1849175417334,126.922342831416
카페게이트,광주광역시 북구 매곡로,35.1895464978499,126.893887287869
카페게이트부산,부산광역시 부산진구 중앙대로680번길,35.1533934560639,129.061606773626
카페게이트일산대화,경기도 고양시 일산서구 대화로,37.6702074203886,126.734666888064
카페게이트운양역점,경기도 김포시 김포한강1로,37.6532847439095,126.685079917109
카페게이트금릉점,경기도 파주시 금빛로,37.7519760474034,126.767238853212
카페게이트,경기도 파주시 심학산로,37.7185102080939,126.738031065656
카페게이트고양관산점,경기도 고양시 덕양구 통일로768번길,37.6884030696482,126.86524264943
카페게이트안양,경기도 안양시 동안구 경수대로884번길,37.3974923272538,126.938751774465
카페게이트김포전원로점,경기도 김포시 전원로,37.6454561889643,126.681150029705
카페게이트중산하늘,경기도 고양시 일산동구 중산로,37.6813845898496,126.781309363201
카페게이트원흥지식산업,경기도 고양시 덕양구 삼원로,37.6391220101417,126.875136361498
카페게이트김포풍무중학교점,경기도 김포시 유현로33번길,37.6002154204342,126.726159596136
카페게이트,경기도 평택시 청북읍 안청로,37.018302458847,126.915662378009
카페게이트김포구래역점,경기도 김포시 김포한강9로,37.6451561876646,126.625666601577
카페게이트김포초당,경기도 김포시 김포한강2로,37.6390076522879,126.672551068675
카페게이트용인,경기도 용인시 처인구 남사읍 한숲로,37.1561044892693,127.173298980845
카페게이트삼송,경기도 고양시 덕양구 권율대로,37.6634591524075,126.889458314717
카페게이트덕정역점,경기도 양주시 화합로,37.8438396549673,127.0623561273
카페게이트장기동지식산업,경기도 김포시 태장로,37.6397824739952,126.682190765267
카페게이트,경기도 안양시 만안구 안양로304번길,37.3997084611536,126.921767642965
카페게이트김포사우점,경기도 김포시 사우중로73번길,37.6222646326335,126.720459370822
카페게이트양주,경기도 양주시 옥정동로7다길,37.8194805384582,127.092797658115
카페게이트의왕삼동점,경기도 의왕시 부곡중앙남7길,37.3189576187688,126.957276910489
카페게이트고양,경기도 고양시 덕양구 꽃마을로,37.5988111214675,126.892390398485
카페게이트김포풍무역점,경기도 김포시 유현로238번길,37.6110986582806,126.731920167424
카페게이트,경기도 고양시 덕양구 화신로260번길,37.6336102001311,126.832721991985
카페게이트탄현,경기도 고양시 일산서구 탄현로,37.7037161269704,126.766156153028
카페게이트일산탄현점,경기도 고양시 일산서구 일현로,37.6905523922343,126.762712066571
카페게이트김포운양베네치아,경기도 김포시 김포한강11로,37.6551856050071,126.681827898457
카페게이트일산웨돔,경기도 고양시 일산동구 정발산로,37.6569339611902,126.771158037345
카페게이트광명아크포레점,경기도 광명시 새터로,37.4733184890216,126.855015258805
카페게이트파주,경기도 파주시 경의로1004번길,37.7078147557609,126.760054877427
카페게이트하남신장,경기도 하남시 신평로,37.5378399847891,127.204622178854
카페게이트김포장기역점,경기도 김포시 김포한강1로51번길,37.6438115017752,126.667887860806
카페게이트대화역점,경기도 고양시 일산서구 중앙로,37.6760394951512,126.746719999896
카페게이트킨텍스원시티점,경기도 고양시 일산동구 태극로,37.6639633831081,126.749869960055
카페게이트,경기도 파주시 청석로,37.7246432329332,126.717735822855
카페게이트운정역점,경기도 파주시 와석순환로515번길,37.7282504876063,126.763582487273
카페게이트파주운정가람점,경기도 파주시 미래로,37.7316454499051,126.751444182546
카페게이트백석알미공원점,경기도 고양시 일산동구 중앙로,37.6456276761558,126.78521395348
카페게이트뉴코아점,경기도 고양시 일산동구 중앙로,37.6534753067795,126.77734596083
카페게이트고양원당점,경기도 고양시 덕양구 호국로,37.6589409372349,126.838513558715
카페게이트,경기도 파주시 문산읍 방촌로,37.8674143796139,126.784923089458
카페게이트,경기도 시흥시 은행로173번길,37.4454555621462,126.797600689408
카페게이트파주운정,경기도 파주시 미래로,37.7117550160628,126.745846464309
카페게이트탄현제니스점,경기도 고양시 일산서구 일현로,37.6952029959045,126.76198846505
카페게이트라페스타D동점,경기도 고양시 일산동구 중앙로,37.6610126716101,126.768291376066
카페게이트범박,경기도 부천시 범안로,37.4712023995777,126.809567347043
카페게이트파주운정산내,경기도 파주시 청암로17번길,37.7290492816595,126.736105243132
카페게이트파주운정가람점,경기도 파주시 미래로,37.7316454499051,126.751444182546
카페게이트파주금촌역점,경기도 파주시 새꽃로,37.7651155260937,126.774432052399
카페게이트덕정역점,경기도 양주시 화합로,37.8438396549673,127.0623561273
카페게이트시흥,경기도 시흥시 옥구상가2길,37.3533253957649,126.723864845337
카페게이트성남,경기도 성남시 중원구 양현로405번길,37.4172598060529,127.126863680618
카페게이트수원하늘채점,경기도 수원시 권선구 곡반정로,37.2416933447695,127.034194932563
카페게이트김포호수초점,경기도 김포시 김포한강4로420번길,37.6505537653015,126.632694930653
카페게이트판교하이펙스점,경기도 성남시 분당구 판교역로,37.4020984979811,127.110447392748
카페게이트수원권선,경기도 수원시 권선구 권광로,37.2547923071917,127.026136770839
카페게이트경기광주,경기도 광주시 마루들길,37.3780296913524,127.256469265676
카페게이트부천,경기도 부천시 옥길로,37.4664366920532,126.823140267975
카페게이트,경기도 고양시 덕양구 삼송로,37.6497792439396,126.874941635348
카페게이트고양푸른,경기도 고양시 덕양구 푸른마을로,37.7088954561513,126.902718854667
카페게이트원주,강원특별자치도 원주시 능라동길,37.3328665969582,127.929929072807
카페게이트인천만수향촌점,인천광역시 남동구 만수서로,37.461423285329,126.73220297471
카페게이트인천한림,인천광역시 계양구 장제로,37.5313469827768,126.734222116701
카페게이트부평남부역,인천광역시 부평구 광장로,37.4895572235053,126.723337286585
카페게이트인천가정고점,인천광역시 서구 서달로163번길,37.5130400255459,126.67846168956
카페게이트주안남부역점,인천광역시 미추홀구 주안로,37.4642141088655,126.682565848026
카페게이트신기,인천광역시 미추홀구 미추홀대로,37.4487793742646,126.679333133172
카페게이트,인천광역시 남동구 서창남로,37.4235627927063,126.750082059544
카페게이트인천만수역점,인천광역시 남동구 백범로,37.454603384955,126.733131885691
