상호명,도로명,위도,경도
메가엠지씨커피제주삼화초점,제주특별자치도 제주시 화삼로,33.5144269419257,126.575216550364
메가엠지씨커피제주,제주특별자치도 제주시 고마로,33.5056760746156,126.541427264913
메가엠지씨커피516도로점,제주특별자치도 서귀포시 516로,33.2700076775459,126.585767891026
메가엠지씨커피제주남녕점,제주특별자치도 제주시 남녕로,33.4904925073876,126.481307144145
메가엠지씨커피제주동광육,제주특별자치도 서귀포시 안덕면 한창로,33.3105466079445,126.340367119871
메가엠지씨커피제주동문,제주특별자치도 제주시 관덕로,33.5132597883531,126.526318007591
메가엠지씨커피제주,제주특별자치도 제주시 번영로,33.4915946651737,126.592990114271
메가엠지씨커피서귀포효돈점,제주특별자치도 서귀포시 일주동로,33.2633621202882,126.621838905692
메가엠지씨커피제주연동점,제주특별자치도 제주시 과원북2길,33.4787056469261,126.48766676183
메가엠지씨커피제주중앙중점,제주특별자치도 제주시 선덕로,33.4858144468932,126.498410256723
메가엠지씨커피제주,제주특별자치도 서귀포시 남원읍 태위로,33.2784484097452,126.717233326728
메가엠지씨커피서귀포여중점,제주특별자치도 서귀포시 일주동로,33.2555085341869,126.545029614703
메가엠지씨커피제주동홍,제주특별자치도 서귀포시 태평로,33.2489569324029,126.570955640175
메가엠지씨커피신제주점,제주특별자치도 제주시 노연로,33.4860340983026,126.489777358517
메가엠지씨커피제주무지개,제주특별자치도 제주시 서해안로,33.5087401808187,126.471775925677
메가엠지씨커피제주서홍점,제주특별자치도 서귀포시 중앙로,33.2622482360263,126.558590512609
메가엠지씨커피제주도청점,제주특별자치도 제주시 신대로7길,33.4919417684875,126.49738987162
메가엠지씨커피제주대점,제주특별자치도 제주시 제주대학로,33.460335938082,126.561505599261
메가엠지씨커피제주아라점,제주특별자치도 제주시 중앙로,33.4733022076785,126.545412521024
메가엠지씨커피제주송악산점,제주특별자치도 서귀포시 대정읍 송악관광로,33.2077563542085,126.290948378263
메가엠지씨커피제주표선점,제주특별자치도 서귀포시 표선면 표선동서로,33.3262328386852,126.833173086187
메가엠지씨커피제주한라대점,제주특별자치도 제주시 한라대학로,33.4761472777247,126.478997042047
메가엠지씨커피제주일주서로점,제주특별자치도 제주시 일주서로,33.4926235229,126.425241470582
메가엠지씨커피제주외도점,제주특별자치도 제주시 우정로,33.4885187812211,126.430717128831
메가엠지씨커피제주,제주특별자치도 제주시 월랑로8길,33.4888225312693,126.476731103444
메가엠지씨커피협재해수욕장점,제주특별자치도 제주시 한림읍 한림로,33.3931403529136,126.240383163477
메가엠지씨커피제주버스,제주특별자치도 제주시 서광로,33.5003252843097,126.514495348039
메가엠지씨커피제주성산,제주특별자치도 서귀포시 성산읍 성산등용로,33.465088835,126.932759668859
메가엠지씨커피제주롯데시티점,제주특별자치도 제주시 도령로,33.4897252416275,126.48638846261
메가엠지씨커피제주,제주특별자치도 서귀포시 대청로,33.2523423855542,126.503124707471
메가엠지씨커피비산,경상북도 구미시 신비로,36.1211515374736,128.374591289936
메가엠지씨커피,경상북도 포항시 북구 중앙상가2길,36.036801326049,129.363883111056
메가엠지씨커피경주,경상북도 경주시 황성로,35.8648514562242,129.213625641742
메가엠지씨커피영천,경상북도 영천시 충효로,35.9735310455109,128.937596866717
메가엠지씨커피,경상북도 경산시 대학로,35.8391635234185,128.756371805565
메가엠지씨커피구미역점,경상북도 구미시 구미중앙로13길,36.1288481332976,128.331954319257
메가엠지씨커피경산,경상북도 경산시 하양읍 하양로,35.9108952252209,128.816128192696
메가엠지씨커피구미,경상북도 구미시 봉곡남로20길,36.1502011462523,128.314741289369
메가엠지씨커피안동문화의,경상북도 안동시 문화광장길,36.5653974327762,128.730980974511
메가엠지씨커피포항,경상북도 포항시 남구 포스코대로,36.0260326408938,129.341419388889
메가엠지씨커피김천,경상북도 김천시 혁신4로,36.1214629118005,128.188350573708
메가엠지씨커피포항문덕점,경상북도 포항시 남구 오천읍 남원로,35.9664624214697,129.400421030813
메가엠지씨커피구미,경상북도 구미시 송정대로,36.1169586883702,128.348311286352
메가엠지씨커피,경상북도 김천시 시청로,36.1341981689591,128.117893998445
메가엠지씨커피영주가흥점,경상북도 영주시 대학로240번길,36.8155448489339,128.60520816539
메가엠지씨커피경북문경점,경상북도 문경시 상신로,36.5948520865049,128.19861456266
메가엠지씨커피대구대학점,경상북도 경산시 진량읍 대구대로,35.8967305076587,128.849380473746
메가엠지씨커피영덕,경상북도 영덕군 영덕읍 중앙길,36.4113754593697,129.368094673127
메가엠지씨커피경북봉화점,경상북도 봉화군 봉화읍 봉화로,36.8902597297271,128.740719491936
메가엠지씨커피구미도량점,경상북도 구미시 도봉로,36.1388647286077,128.3174627558
메가엠지씨커피구미4공단점,경상북도 구미시 산동읍 산호대로41길,36.1402100564872,128.439373521714
메가엠지씨커피구미송정,경상북도 구미시 백산로2길,36.1214346767776,128.340099311268
메가엠지씨커피울진군청점,경상북도 울진군 울진읍 울진중앙로,36.992103596033,129.40135418663
메가엠지씨커피김천,경상북도 김천시 혁신3로,36.1173253379867,128.182930886829
메가엠지씨커피구미상모점,경상북도 구미시 상사서로,36.0874214220946,128.355054427104
메가엠지씨커피상주,경상북도 상주시 삼백로,36.4186177250583,128.153861243316
메가엠지씨커피경북도청,경상북도 예천군 호명면 행복로,36.576517554737,128.487846077622
메가엠지씨커피경북도청호명점,경상북도 예천군 호명면 행복로,36.5785793938332,128.483903437752
메가엠지씨커피영덕,경상북도 영덕군 영해면 예주시장길,36.5390744732541,129.405775739268
메가엠지씨커피경산삼풍점,경상북도 경산시 삼풍로,35.8221355370086,128.755269550852
메가엠지씨커피사천사남점,경상남도 사천시 사남면 진삼로,35.0521546070967,128.07479293903
메가엠지씨커피,경상남도 창원시 마산합포구 중앙동로,35.1960822501498,128.569061030542
메가엠지씨커피밀양삼문점,경상남도 밀양시 삼문중앙로,35.4851157346995,128.756390457663
메가엠지씨커피양산,경상남도 양산시 물금읍 범구로,35.3268186338419,129.011174653948
메가엠지씨커피김해,경상남도 김해시 인제로,35.2450531206398,128.904292099926
메가엠지씨커피가음정점,경상남도 창원시 성산구 가음정로43번길,35.2094322706762,128.688815949599
메가엠지씨커피함안점,경상남도 함안군 가야읍 가야로,35.2779496131359,128.41087920001
메가엠지씨커피통영동피랑점,경상남도 통영시 통영해안로,34.8445298151693,128.427193042747
메가엠지씨커피김해,경상남도 김해시 삼계중앙로,35.2608487843117,128.869409763275
메가엠지씨커피장유코아점,경상남도 김해시 장유로,35.203521367275,128.809373595318
메가엠지씨커피마산,경상남도 창원시 마산합포구 현동4길,35.1509039819173,128.553216195366
메가엠지씨커피거창점,경상남도 거창군 거창읍 아림로,35.6859550483023,127.910814893288
메가엠지씨커피,경상남도 양산시 삼호1길,35.4142552686558,129.167601513911
메가엠지씨커피진주,경상남도 진주시 동진로,35.1798356193432,128.11070261712
메가엠지씨커피양산,경상남도 양산시 물금읍 범구로,35.3268186338419,129.011174653948
메가엠지씨커피진주비성대점,경상남도 진주시 금산면 송백로,35.196107264526,128.151697054915
메가엠지씨커피,경상남도 진주시 정촌면 삼일로72번길,35.1262726392297,128.099295785011
메가엠지씨커피김해,경상남도 김해시 번화1로80번길,35.1950673212356,128.801064886111
메가엠지씨커피,경상남도 창원시 성산구 창원천로,35.2449819223203,128.669909526226
메가엠지씨커피남양점,경상남도 창원시 성산구 가양로,35.2090421486252,128.703365238502
메가엠지씨커피율하2지구점,경상남도 김해시 율하숲길,35.1709674571875,128.82334403882
메가엠지씨커피내서,경상남도 창원시 마산회원구 내서읍 광려천북로,35.2664128090311,128.522687035599
메가엠지씨커피창원,경상남도 창원시 의창구 도계로,35.2595059430933,128.637784598727
메가엠지씨커피진주칠암점,경상남도 진주시 진주대로,35.1798159033757,128.091082370858
메가엠지씨커피,경상남도 창원시 의창구 중동로,35.2548088980242,128.629308023173
메가엠지씨커피거제,경상남도 거제시 동문천로,34.8835012131143,128.626759825956
메가엠지씨커피김해가야대역점,경상남도 김해시 가야로30번길,35.2687802186013,128.864493590018
메가엠지씨커피김해연지공원점,경상남도 김해시 금관대로1368번길,35.2444351353447,128.868047859993
메가엠지씨커피율하,경상남도 김해시 율하3로,35.17169389898,128.814558023232
메가엠지씨커피진주,경상남도 진주시 초북로,35.2133958003047,128.11109963962
